weather,temp_max,temp_min,precipitation,wind
rain,1.0400809648558185,-5.8726544671342085,-0.6111154439276227,0.18705781288929174
sun,10.891371135784839,-1.0938929539074855,-0.05791139284265941,2.6628977300099845
drizzle,8.744624821600652,-2.344487027742989,-0.192276349058552,5.4608612586988565
fog,19.81880142802866,-6.8638575752706625,13.344221521695896,6.788952747411254
snow,-0.7570613658780443,7.53680717873983,7.85372035073362,7.4384290628071
sun,19.266723471403687,4.377771358119425,0.40748091715751356,3.392086067215689
sun,-1.9701785560115261,-5.267100324803474,-0.002656582896923885,1.7211228069608482
fog,8.727749811654473,-0.7714417886150813,5.236427683269271,3.4952943955456646
rain,15.755506252855572,-3.9889779054332526,-0.04338933204359167,1.7537077011192588
rain,6.078288005721186,-3.7597804337057297,3.9231430467980237,5.451569685199879
sun,12.058855848303176,-8.363051502315686,0.1282244062119925,1.5305119615836646
drizzle,10.779176634256606,0.07342139894989853,4.224614889977936,3.4498343511874148
snow,16.97542240482291,6.617038518641826,0.6911085486954299,1.4740266744014656
sun,0.49382424942935305,7.222254077044315,0.3526229916657813,5.330728265663459
fog,-0.3012160770298773,-8.781400806858583,2.9021445102550456,2.0841874052659786
sun,13.118763441979798,-2.0602634884764943,5.0296308206604525,-0.06473806968776889
rain,12.254806810569535,2.2383005810969436,0.3833194375029366,2.7319149757180408
sun,16.899930533762,1.3380434258849383,0.8344076146204371,5.641379439104401
drizzle,14.33017717968415,-4.774575870230673,29.666555857376657,1.833480186391651
rain,4.991017867717785,9.973751685029024,9.107972171866466,2.3783393486653726
drizzle,13.412130325122924,-8.103449478027644,0.13474218558426604,1.7798984437014198
rain,21.582010857248633,1.0964567300713604,0.6134840354961765,2.1373268386980744
rain,7.375374863577455,-3.317142564601057,6.339025501215081,6.966206118047335
sun,28.78703844183293,4.470560148465264,2.221626155223002,5.487437352713586
rain,4.281744706239304,6.811534579256866,0.015694201954711575,5.078719139495336
fog,15.635583558431437,6.672575564262937,-0.8020767432129629,4.74104170969704
sun,8.324141122570671,-5.463337643679405,3.9388650601451762,2.1873585331714636
